"ITH"	"Rejected"
"ISH"	"Confirmed"
"HIC"	"Rejected"
"HGM"	"Rejected"
"H0u"	"Rejected"
"H1u"	"Rejected"
"H2u"	"Rejected"
"H3u"	"Rejected"
"H4u"	"Rejected"
"H5u"	"Rejected"
"H6u"	"Rejected"
"H7u"	"Rejected"
"H8u"	"Rejected"
"HTu"	"Rejected"
"HATS0u"	"Rejected"
"HATS1u"	"Rejected"
"HATS2u"	"Rejected"
"HATS3u"	"Rejected"
"HATS4u"	"Rejected"
"HATS5u"	"Rejected"
"HATS6u"	"Rejected"
"HATS7u"	"Rejected"
"HATS8u"	"Rejected"
"HATSu"	"Rejected"
"H0m"	"Confirmed"
"H1m"	"Rejected"
"H2m"	"Rejected"
"H3m"	"Rejected"
"H4m"	"Rejected"
"H5m"	"Rejected"
"H6m"	"Rejected"
"H7m"	"Rejected"
"H8m"	"Rejected"
"HTm"	"Rejected"
"HATS0m"	"Confirmed"
"HATS1m"	"Rejected"
"HATS2m"	"Rejected"
"HATS3m"	"Rejected"
"HATS4m"	"Rejected"
"HATS5m"	"Rejected"
"HATS6m"	"Confirmed"
"HATS7m"	"Rejected"
"HATS8m"	"Rejected"
"HATSm"	"Rejected"
"H0v"	"Confirmed"
"H1v"	"Rejected"
"H2v"	"Rejected"
"H3v"	"Rejected"
"H4v"	"Rejected"
"H5v"	"Rejected"
"H6v"	"Rejected"
"H7v"	"Rejected"
"H8v"	"Rejected"
"HTv"	"Rejected"
"HATS0v"	"Confirmed"
"HATS1v"	"Confirmed"
"HATS2v"	"Rejected"
"HATS3v"	"Rejected"
"HATS4v"	"Rejected"
"HATS5v"	"Confirmed"
"HATS6v"	"Confirmed"
"HATS7v"	"Rejected"
"HATS8v"	"Rejected"
"HATSv"	"Rejected"
"H0e"	"Confirmed"
"H1e"	"Rejected"
"H2e"	"Rejected"
"H3e"	"Rejected"
"H4e"	"Rejected"
"H5e"	"Rejected"
"H6e"	"Rejected"
"H7e"	"Rejected"
"H8e"	"Confirmed"
"HTe"	"Rejected"
"HATS0e"	"Rejected"
"HATS1e"	"Rejected"
"HATS2e"	"Rejected"
"HATS3e"	"Rejected"
"HATS4e"	"Rejected"
"HATS5e"	"Rejected"
"HATS6e"	"Confirmed"
"HATS7e"	"Rejected"
